Source:  Carbon Dioxide Information Analysis Center, http://cdiac.ornl.gov/ftp/ndp030/global.1751_2010.ems, http://cdiac.ornl.gov/trends/emis/meth_reg.html
1850	0.054
1851	0.054
1852	0.057
1853	0.059
1854	0.069
1855	0.071
1856	0.076
1857	0.077
1858	0.078
1859	0.083
1860	0.091
1861	0.095
1862	0.097
1863	0.104
1864	0.112
1865	0.119
1866	0.122
1867	0.13
1868	0.135
1869	0.142
1870	0.147
1871	0.156
1872	0.173
1873	0.184
1874	0.174
1875	0.188
1876	0.191
1877	0.194
1878	0.196
1879	0.21
1880	0.236
1881	0.243
1882	0.256
1883	0.272
1884	0.275
1885	0.277
1886	0.281
1887	0.295
1888	0.327
1889	0.327
1890	0.356
1891	0.372
1892	0.374
1893	0.37
1894	0.383
1895	0.406
1896	0.419
1897	0.44
1898	0.465
1899	0.507
1900	0.534
1901	0.552
1902	0.566
1903	0.617
1904	0.624
1905	0.663
1906	0.707
1907	0.784
1908	0.75
1909	0.785
1910	0.819
1911	0.836
1912	0.879
1913	0.943
1914	0.85
1915	0.838
1916	0.901
1917	0.955
1918	0.936
1919	0.806
1920	0.932
1921	0.803
1922	0.845
1923	0.97
1924	0.963
1925	0.975
1926	0.983
1927	1.062
1928	1.065
1929	1.145
1930	1.053
1931	0.94
1932	0.847
1933	0.893
1934	0.973
1935	1.027
1936	1.13
1937	1.209
1938	1.142
1939	1.192
1940	1.299
1941	1.334
1942	1.342
1943	1.391
1944	1.383
1945	1.16
1946	1.238
1947	1.392
1948	1.469
1949	1.419
1950	1.63
1951	1.767
1952	1.795
1953	1.841
1954	1.865
1955	2.042
1956	2.177
1957	2.27
1958	2.33
1959	2.454
1960	2.569
1961	2.58
1962	2.686
1963	2.833
1964	2.995
1965	3.13
1966	3.288
1967	3.393
1968	3.566
1969	3.78
1970	4.053
1971	4.208
1972	4.376
1973	4.614
1974	4.623
1975	4.596
1976	4.864
1977	5.026
1978	5.087
1979	5.369
1980	5.315
1981	5.152
1982	5.113
1983	5.094
1984	5.28
1985	5.439
1986	5.607
1987	5.752
1988	5.965
1989	6.097
1990	6.127
1991	6.217
1992	6.164
1993	6.162
1994	6.266
1995	6.398
1996	6.542
1997	6.651
1998	6.643
1999	6.61
2000	6.765
2001	6.927
2002	6.996
2003	7.416
2004	7.807
2005	8.093
2006	8.37
2007	8.566
2008	8.783
2009	8.74
2010	9.167
2011	9.46
2012	9.667
