Source: primarily Stern and Kaufmann, 1998: http://cdiac.esd.ornl.gov/ftp/trends/ch4_emis/ch4.dat
1850	68.2
1851	68.4
1852	68.8
1853	77
1854	77.2
1855	77.5
1856	77.9
1857	78.2
1858	78.7
1859	79
1860	79.3
1861	80
1862	80.4
1863	81
1864	81.6
1865	82.2
1866	82.7
1867	83.3
1868	83.6
1869	84.1
1870	84.6
1871	85.5
1872	86.3
1873	87
1874	87.2
1875	87.8
1876	88.5
1877	89.3
1878	90
1879	90.9
1880	92
1881	93.7
1882	95
1883	96.2
1884	97
1885	97.7
1886	98.5
1887	99.6
1888	100.9
1889	101.7
1890	102.9
1891	104
1892	104.8
1893	105.3
1894	106.4
1895	107.6
1896	108.6
1897	109.8
1898	111.1
1899	112.8
1900	114.2
1901	116.5
1902	117.8
1903	119.9
1904	121
1905	122.6
1906	124.5
1907	126.9
1908	126.8
1909	128.2
1910	129.7
1911	129.5
1912	130.8
1913	132.3
1914	130.8
1915	131.1
1916	133.2
1917	135
1918	135.4
1919	133.8
1920	137.3
1921	136.1
1922	138.5
1923	141.9
1924	142.7
1925	143.8
1926	144.7
1927	147.5
1928	148.2
1929	150.2
1930	148.9
1931	147.7
1932	146.5
1933	148.1
1934	150.6
1935	152
1936	155.4
1937	157.8
1938	157.2
1939	159.5
1940	161.6
1941	163.3
1942	164.1
1943	165.4
1944	165.8
1945	163.4
1946	166.8
1947	171.1
1948	174
1949	174.1
1950	177.5
1951	186.1
1952	189.9
1953	192.6
1954	195.3
1955	201.3
1956	205.7
1957	210.4
1958	214.2
1959	216.7
1960	221.1
1961	226.3
1962	230.7
1963	236.3
1964	242.1
1965	247.4
1966	252.6
1967	257
1968	262.9
1969	269.6
1970	275.8
1971	277.5
1972	282.2
1973	290.6
1974	292.9
1975	294.3
1976	304.5
1977	307.8
1978	312.9
1979	317.5
1980	318.9
1981	319.3
1982	323.9
1983	326.5
1984	332.1
1985	339.6
1986	344.3
1987	349.4
1988	355.3
1989	357.8
1990	362.3
1991	366.5
1992	367.4
1993	367.2
1994	371
1995	376.1
1996	381.2
1997	386.3
1998	391.5
1999	396.7
2000	402
2001	408
2002	414
2003	420
2004	426
2005	432
2006	438
2007	444
2008	450
2009	456
2010	462
2011	468
2012	474
